Original variable name,SEPI Indicator ID,Pillar,Indicator name,Description,Unit of measurement,Data source,Source file or URL,Data collection year,Reference period,Geographic level,Indicator type,Directionality
pop_count_3+,FSN_01,Food Security,Population in IPC Phase 3 or higher,Population in IPC Phase 3 or higher (Crisis and above).,People,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_count_1,FSN_02,Food Security,Population in IPC Phase 1,Population in IPC Phase 1 (None/Minimal food insecurity).,People,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = less deprived
pop_count_2,FSN_03,Food Security,Population in IPC Phase 2,Population in IPC Phase 2 (Stressed).,People,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = less deprived
pop_count_3,FSN_04,Food Security,Population in IPC Phase 3,Population in IPC Phase 3 (Crisis).,People,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_count_4,FSN_05,Food Security,Population in IPC Phase 4,Population in IPC Phase 4 (Emergency).,People,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_count_5,FSN_06,Food Security,Population in IPC Phase 5,Population in IPC Phase 5 (Catastrophe/Famine).,People,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_frac_3+,FSN_07,Food Security,Fraction of population in IPC Phase 3 or higher,Fraction of population in IPC Phase 3 or higher.,Proportion,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_frac_1,FSN_08,Food Security,Fraction of population in IPC Phase 1,Fraction of population in IPC Phase 1.,Proportion,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = less deprived
pop_frac_2,FSN_09,Food Security,Fraction of population in IPC Phase 2,Fraction of population in IPC Phase 2.,Proportion,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = less deprived
pop_frac_3,FSN_10,Food Security,Fraction of population in IPC Phase 3,Fraction of population in IPC Phase 3.,Proportion,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_frac_4,FSN_11,Food Security,Fraction of population in IPC Phase 4,Fraction of population in IPC Phase 4.,Proportion,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_frac_5,FSN_12,Food Security,Fraction of population in IPC Phase 5,Fraction of population in IPC Phase 5.,Proportion,Integrated Food Security Phase Classification (IPC) via HDX HAPI,data/processed/adm1_yearly_ipc_ken_data.csv,2025,2025 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
primary_school_net_attendance_total,EDU_01,Education,Primary school net attendance rate (total),Net attendance rate in primary education for the total population.,Percent,Kenya Population and Housing Census / SIHBS education extract,data/processed/adm1_sihbs_ken_data.csv,2019,2019,Admin 1,Output,Higher = less deprived
primary_school_net_attendance_male,EDU_02,Education,Primary school net attendance rate (male),Net attendance rate in primary education for males.,Percent,Kenya Population and Housing Census / SIHBS education extract,data/processed/adm1_sihbs_ken_data.csv,2019,2019,Admin 1,Output,Higher = less deprived
primary_school_net_attendance_female,EDU_03,Education,Primary school net attendance rate (female),Net attendance rate in primary education for females.,Percent,Kenya Population and Housing Census / SIHBS education extract,data/processed/adm1_sihbs_ken_data.csv,2019,2019,Admin 1,Output,Higher = less deprived
primary_school_net_attendance_gp_index,EDU_04,Education,Primary school net attendance gender parity index,Female-to-male ratio of primary school net attendance.,Ratio,Kenya Population and Housing Census / SIHBS education extract,data/processed/adm1_sihbs_ken_data.csv,2019,2019,Admin 1,Output,Higher = less deprived
net_attendance_total,EDU_05,Education,Secondary Attendance (Total),Overall attendance rate for secondary school age group.,Percent,Kenya Population and Housing Census / SIHBS education extract,data/processed/adm1_sihbs_ken_data.csv,2019,2019,Admin 1,Output,Higher = less deprived
secondary_school_net_attendance_male,EDU_06,Education,Secondary school net attendance rate (male),Net attendance rate in secondary education for males.,Percent,Kenya Population and Housing Census / SIHBS education extract,data/processed/adm1_sihbs_ken_data.csv,2019,2019,Admin 1,Output,Higher = less deprived
secondary_school_net_attendance_female,EDU_07,Education,Secondary school net attendance rate (female),Net attendance rate in secondary education for females.,Percent,Kenya Population and Housing Census / SIHBS education extract,data/processed/adm1_sihbs_ken_data.csv,2019,2019,Admin 1,Output,Higher = less deprived
secondary_school_net_attendance_gp_index,EDU_08,Education,Secondary school net attendance gender parity index,Female-to-male ratio of secondary school net attendance.,Ratio,Kenya Population and Housing Census / SIHBS education extract,data/processed/adm1_sihbs_ken_data.csv,2019,2019,Admin 1,Output,Higher = less deprived
mpi,INC_01,Income & Livelihoods,Multidimensional Poverty Index,Multidimensional poverty index for the county.,Index (0-1),Oxford Poverty & Human Development Initiative,data/processed/adm1_pov_income_2022.csv,2022,2022,Admin 1,Output,Higher = more deprived
poverty_headcount_pct,INC_02,Income & Livelihoods,Poverty headcount (population below poverty line),Population below the national poverty line.,Percent,Oxford Poverty & Human Development Initiative,data/processed/adm1_pov_income_2022.csv,2022,2022,Admin 1,Output,Higher = more deprived
intensity_of_deprivation,INC_03,Income & Livelihoods,Intensity of Deprivation,Average proportion of indicators in which poor people are deprived.,Percent,Oxford Poverty & Human Development Initiative,data/processed/adm1_pov_income_2022.csv,2022,2022,Admin 1,Output,Higher = more deprived
vulnerable_to_poverty,INC_04,Income & Livelihoods,Vulnerable to Poverty,Share of population vulnerable to multidimensional poverty.,Percent,Oxford Poverty & Human Development Initiative,data/processed/adm1_pov_income_2022.csv,2022,2022,Admin 1,Output,Higher = more deprived
extreme_poverty_headcount_pct,INC_05,Income & Livelihoods,Extreme poverty headcount,Population below the extreme poverty line.,Percent,Oxford Poverty & Human Development Initiative,data/processed/adm1_pov_income_2022.csv,2022,2022,Admin 1,Output,Higher = more deprived
gcp_pc,INC_06,Income & Livelihoods,Gross County Product Per Capita,Gross County Product per capita.,KSh per person,Kenya National Bureau of Statistics (KNBS),data/processed/adm1_pov_income_2022.csv,2022,2022,Admin 1,Output,Higher = less deprived
