adm1_pcode,adm1_name,pop_count_3+,pop_count_1,pop_count_2,pop_count_3,pop_count_4,pop_count_5,pop_frac_3+,pop_frac_1,pop_frac_2,pop_frac_3,pop_frac_4,pop_frac_5,primary_school_net_attendance_total,primary_school_net_attendance_male,primary_school_net_attendance_female,primary_school_net_attendance_gp_index,net_attendance_total,secondary_school_net_attendance_male,secondary_school_net_attendance_female,secondary_school_net_attendance_gp_index,mpi,poverty_headcount_pct,intensity_of_deprivation,vulnerable_to_poverty,extreme_poverty_headcount_pct,gcp_pc,total_health_facilities,count_hospitals,count_mch_centres,count_health_posts,count_health_centres,health_fac_per_10k_pop,mch_ctr_per_10k_pop,hp_hc_per_10k_pop,hospitals_per_100k_pop,school_access_pop,healthcare_access_pop,nutrition,child_mortality,years_of_schooling,school_attendance,cooking_fuel,sanitation,drinking_water,electricity,housing,assets,M_15_19,M_20_24,M_25_29,num_youth_bulge,2019_population,youth_bulge
KE027,Uasin Gishu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6,53.1,52,0.97,21.1,20.5,21.7,1.05,0.0642,16.076,39.9373,23.2148,1.8783,240399,183,12,1,143,27,1.4001530221882172,0.00765110941086457,1.3006885998469775,0.918133129303749,41.92,97.61,16.66345419,2.307390531,1.951606438,1.848460235,72.06742754,50.97799771,25.60940736,34.01507334,46.08264041,10.12619131,65665,61489,52140,179294,1163186,0.154140438
KE035,Kericho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.3,57.4,57.1,0.95,20.8,20.5,21.2,0.99,0.1099,26.4952,41.4969,32.0097,6.1348,217656,211,15,0,181,15,2.153061224489796,0,2,1.530612244897959,16.2,91,22.75405553,1.618228554,2.812542504,1.393438098,90.02442338,72.2472192,44.47439282,42.69499898,59.8076609,26.49970238,54356,40859,35200,130415,901777,0.144620011
KE029,Nandi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7,58.2,57.1,0.94,19.9,19.3,20.5,1.02,0.1076,25.7708,41.7678,32.3563,5.3463,202702,201,7,0,173,21,2.0468431771894093,0,1.9755600814663952,0.7128309572301426,7.53,82.92,17.64493427,1.682734005,3.235597135,2.332090402,89.1861721,62.94353272,56.66487671,54.10361477,64.9432349,23.47319897,55370,39138,30974,125482,885711,0.141673751
KE041,Siaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.2,59.2,59.1,0.98,17.6,17.2,18,1.03,0.1032,25.2612,40.8432,41.0049,2.786,129321,169,12,1,116,40,1.5405651777575209,0.00911577028258887,1.422060164083865,1.0938924339106657,49.94,89.84,17.05376366,2.972443802,4.092006612,2.116230739,93.74022033,64.67952167,58.38508535,79.04295514,58.93223498,10.88411143,59306,36412,28810,124528,993183,0.125382734
KE044,Migori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7,57,58.5,1,16.6,17,16.1,0.92,0.1393,33.4521,41.6524,39.4944,6.2976,127059,219,17,1,165,36,1.695046439628483,0.00773993808049535,1.5557275541795663,1.3157894736842106,48.19,93.18,17.8731289,5.259846912,2.814297093,3.939761059,92.49604101,82.42193243,51.7017216,78.96247566,64.36218965,26.01729707,66844,44983,35961,147788,1116436,0.132374807
KE032,Nakuru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,54.5,54.7,0.96,21.6,21.6,21.7,0.96,0.0727,17.7324,40.9854,22.7041,4.137,275495,408,24,6,317,61,1.6687116564417177,0.02453987730061349,1.5460122699386505,0.98159509202454,60.25,96.11,17.64769131,2.381484622,2.55456861,0.661279222,71.01404369,56.18684114,30.04718719,33.93133269,42.16039794,16.9567881,119280,103326,86502,309108,2162202,0.142959816
KE007,Garissa,139050,417150,370800,139050,0,0,0.15,0.45,0.4,0.15,0,0,53.7,52.5,55.4,0.76,21.3,23.7,18,0.55,0.291,55.2501,52.6725,24.424,30.3679,74600,156,14,0,113,29,1.6065911431513904,0,1.4624098867147273,1.4418125643666324,28.37,20.97,31.34379876,3.831269687,26.52073494,60.38094122,95.04679964,63.2442673,32.0096941,41.24334976,31.63517468,42.63241846,70575,46171,32776,149522,841353,0.177716131
KE009,Mandera,287700,191800,479500,239750,47950,0,0.3,0.2,0.5,0.25,0.05,0,61.6,60,63.4,0.91,18.4,20.9,15.4,0.63,0.4612,81.3359,56.7042,11.325,55.9011,68066,84,5,0,53,26,0.8341608738828202,0,0.7845084409136047,0.4965243296921549,12.41,7.48,45.39334422,2.312327216,42.25434366,64.83027006,98.68083098,64.01244768,50.41940414,76.88343547,71.54220643,72.01413955,58915,35881,26435,121231,867457,0.139754478
KE030,Baringo,109950,219900,403150,73300,36650,0,0.15,0.3,0.55,0.1,0.05,0,57.2,57.2,57.2,0.94,19.7,19.5,20,0.96,0.2159,46.8917,46.0451,25.6884,17.5521,127205,221,7,0,190,24,2.892670157068063,0,2.801047120418848,0.9162303664921464,19.28,58.03,34.07394367,4.564304438,7.230151943,8.002419534,96.74025068,53.86146386,65.70186314,69.66452389,74.24623376,38.01657915,42324,30588,22893,95805,666763,0.143686737
KE045,Kisii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,55.2,55.4,0.98,21.5,21.3,21.7,0.99,0.1085,26.702,40.6424,39.1992,6.1322,184985,168,23,0,113,32,1.2262773722627738,0,1.0583941605839415,1.6788321167883211,44.92,100,14.37641532,3.313340545,3.217976376,1.438625568,87.6176283,70.8341804,70.574764,52.50064636,63.92633665,26.51821409,75142,45597,39271,160010,1266860,0.126304406
