adm1_pcode,adm1_name,pop_count_3+,pop_count_1,pop_count_2,pop_count_3,pop_count_4,pop_count_5,pop_frac_3+,pop_frac_1,pop_frac_2,pop_frac_3,pop_frac_4,pop_frac_5,literacy_percent_male,literacy_percent_female,literacy_percent_total,primary_school_net_attendance_male,primary_school_net_attendance_female,primary_school_net_attendance_total,primary_school_net_attendance_gp_index,primary_school_gross_attendance_male,primary_school_gross_attendance_female,primary_school_gross_attendance_total,primary_school_gross_attendance_gp_index,secondary_school_net_attendance_male,secondary_school_net_attendance_female,secondary_school_net_attendance_gp_index,secondary_school_gross_attendance_male,secondary_school_gross_attendance_female,secondary_school_gross_attendance_total,secondary_school_gross_attendance_gp_index,percent_no_formal_education,percent_highest_level_primary_education,percent_highest_level_secondary_education,percent_highest_level_university_education,food_expenditure_usd,non_food_expenditure_usd,total_expenditure_usd,food_percentage_share_pct,non_food_percentage_share_pct,poverty_headcount_pct,poverty_distribution_of_poor_pct,extreme_poverty_headcount_pct,extreme_poverty_distribution_of_extremely_poor_pct,distribution_of_population_pct,population_total,total_health_facilities,count_hospitals,count_mch_centres,count_health_posts,count_health_centres,health_fac_per_10k_pop,mch_ctr_per_10k_pop,hp_hc_per_10k_pop,hospitals_per_100k_pop,healthcare_access_pop,school_access_pop,school_attendance,years_of_schooling,food_security,access_to_healthcare,housing,cooking_fuel,overcrowding,electricity,water,sanitation,assets,unemployment,shocks,youth_bulge,youth_unemployment
SO11,Awdal,103850,299900,232410,88220,15630,0,0.16,0.47,0.37,0.14,0.02,0,61.7,48.4,54.4,51.6,48.1,50,0.93,64.7,75.7,69.9,1.17,26,20.5,0.79,44.6,33.8,38.2,0.76,48.7,30.3,11.9,9.1,523,587,1110,49.4,50.6,39.4,4.1,11.6,3.1,5.6,636160,46,1,22,23,0,0.7230885311871227,0.3458249496981891,0.36154426559356134,0.15719315895372232,NA,29.58,29,31.4,25.4,1.2,28.7,39.2,37.8,16.6,20.9,28.3,19.1,2,25.6,0.173538712,14.5
SO25,Bakool,104560,307530,131240,69220,35340,0,0.19,0.57,0.24,0.13,0.07,0,48.6,24.9,36.6,19.3,13.6,16.6,0.71,39.5,25.5,32.9,0.65,1.4,0.6,0.41,8.5,5.7,7.1,0.67,79.9,17.7,1.9,0.5,387,173,560,72.7,27.3,76.3,4.1,46.2,6.5,3,543330,68,0,7,61,0,1.251541420499512,0.12883514622789097,1.1227062742716212,0,NA,NA,74.5,80.7,79.5,13.6,82,97.1,86.4,77.8,79.7,66.2,32.8,20.6,88.1,0.173544042,57.2
SO22,Banadir,494790,1786270,890340,347190,147600,0,0.16,0.56,0.28,0.11,0.05,0,72.5,51.5,61.3,16.6,10.3,13.4,0.62,28.5,23.5,26,0.83,17.3,19.1,1.1,35.1,28.8,31.7,0.82,66.9,17,10.5,5.6,457,468,925,52.3,47.7,44,11.2,10.8,7.2,13.9,3171400,15,11,3,1,0,0.04729772340291354,0.0094595446805827,0.00315318156019423,0.34684997162136594,99.33,94.06,46.1,40.7,53.1,4,56.4,60.9,49.8,8.1,1.3,31.9,45.8,17.9,5.4,0.19408184,46.6
SO16,Bari,209380,646290,376570,160980,48400,0,0.17,0.52,0.31,0.13,0.04,0,61.3,47.3,53.7,41.9,29.9,35.7,0.71,60.3,41.4,50.5,0.69,20.5,14.4,0.7,37.4,30.9,34.3,0.82,57.5,28.9,9.8,3.8,549,479,1028,54.8,45.2,44,4.8,12.2,3.5,5.9,1232240,69,7,12,50,0,0.5599558527559566,0.09738362656625332,0.4057651106927222,0.5680711549698111,NA,30.13,43.1,45.6,45.1,4.1,16.7,54,52.7,9.6,25.8,19.4,21.8,6.5,32.7,0.168838426,13.2
SO24,Bay,458810,401900,387270,307590,151220,0,0.37,0.32,0.31,0.25,0.12,0,58.8,32.9,46,15.4,17.3,16.4,1.12,39.8,29.1,34.4,0.73,3,10.5,3.46,26.6,12.4,19.1,0.47,71.6,19.5,6.2,2.7,610,352,962,62.8,37.2,58,7.1,21.5,6.9,6.7,1247980,81,1,16,64,0,0.6490488629625475,0.1282071828074168,0.5128287312296672,0.08012948925463549,NA,9.22,66.5,62.5,67.5,11.6,71.2,82.1,74.2,32,23.8,80.1,61.9,11.3,61.2,0.173540765,55.8
SO19,Galgaduud,222460,272570,317610,163390,59070,0,0.27,0.34,0.39,0.2,0.07,0,48.8,38.4,43,14.9,17.5,16.2,1.17,25.6,31.3,28.5,1.22,11.1,11.9,1.07,25.3,26.1,25.7,1.03,77.1,14.8,6.4,1.7,406,387,793,53.3,46.7,55.2,4.9,13.7,3.1,4.8,812640,16,2,8,1,5,0.19688915140775745,0.09844457570387873,0.07383343177790903,0.2461114392596968,NA,5.4,44.4,51.3,52.3,2.8,30.4,59.2,56.7,27.9,8.8,30,34,5.7,23.1,0.163155973,15.1
SO26,Gedo,201810,482880,290860,157750,44060,0,0.21,0.49,0.3,0.16,0.05,0,61.7,50.3,55.5,22.4,18.1,20.5,0.81,35.2,34.7,35,0.99,3.8,2,0.53,15.6,10.3,13.1,0.66,68.9,23.7,5.7,1.7,441,407,848,55.7,44.3,55.2,4.3,18.5,3.8,4.3,975550,78,3,15,59,1,0.7995489723745579,0.15375941776433807,0.6150376710573523,0.30751883552867615,NA,NA,57.2,66,57.1,26.2,73.1,85.6,79.2,48.7,40.9,46.6,47.9,10.6,60.1,0.141497767,23.2
SO20,Hiraan,75830,204430,224570,70220,5610,0,0.15,0.4,0.44,0.14,0.01,0,70.1,42.1,55.4,28.2,26.5,27.4,0.94,43.1,40,41.6,0.93,12.2,11.6,0.95,30.6,17.7,24.1,0.58,61.7,29.4,6.9,2,339,253,592,60,40,82.4,6.6,30.2,6.3,4.4,504830,46,1,12,31,2,0.9111978289721292,0.23770378147099025,0.653685399045223,0.19808648455915853,0.58,10.86,56.8,53.3,59.2,4.4,79.6,88.9,83.2,44.1,39.1,81.2,33.5,7.6,57.5,0.142427625,20.2
SO28,Lower Juba,190010,694470,273760,155410,34600,0,0.16,0.6,0.24,0.13,0.03,0,58.8,33.8,45.1,13.6,12.5,13,0.91,30.7,20.7,25.4,0.67,5.8,1.7,0.3,30,13.6,21.8,0.45,75,19.7,4.4,0.8,487,357,844,56.9,43.1,61.1,4.6,21.6,4.2,4.1,1158240,19,0,14,3,2,0.16404199475065617,0.1208730487636414,0.04316894598701478,0,NA,18.76,68.5,63.9,74.4,4,56.1,84.1,66.4,32.6,27.9,65,72.3,11.5,40.1,0.141494931,41.5
SO23,Lower Shabelle,208100,968310,416720,197280,10820,0,0.13,0.61,0.26,0.12,0.01,0,76.6,48.5,61.7,13.8,13.1,13.4,0.95,21.3,22.8,22,1.07,15.2,13.4,0.88,36.2,20.1,27.5,0.55,75.7,13.7,8.3,2.3,424,381,805,56.4,43.6,54.3,10.1,21.5,10.5,10.1,1593130,54,10,28,15,1,0.33895538970454386,0.1757546465134672,0.10043122657912412,0.6276951661195257,41.41,10.15,37.5,38.5,12.8,3.3,44.2,46,26.4,12.6,6,16.7,40,4.8,10.7,0.173541564,NA
SO27,Middle Juba,92170,179190,158730,81670,10500,0,0.21,0.42,0.37,0.19,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430090,14,0,6,6,2,0.3255132646655351,0.1395056848566579,0.1860075798088772,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
