Original variable name,SEPI Indicator ID,Pillar,Indicator name,Description,Unit of measurement,Data source,Source file or URL,Data collection year,Reference period,Geographic level,Indicator type,Directionality
pop_count_1,FSN_01,Food Security,Population in IPC Phase 1,Population in IPC Phase 1 (None/Minimal food insecurity).,People,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = less deprived
pop_count_2,FSN_02,Food Security,Population in IPC Phase 2,Population in IPC Phase 2 (Stressed).,People,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_count_3,FSN_03,Food Security,Population in IPC Phase 3,Population in IPC Phase 3 (Crisis).,People,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_count_3+,FSN_04,Food Security,Population in IPC Phase 3 or higher,Population in IPC Phase 3 or higher (Crisis and above).,People,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_count_4,FSN_05,Food Security,Population in IPC Phase 4,Population in IPC Phase 4 (Emergency).,People,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_count_5,FSN_06,Food Security,Population in IPC Phase 5,Population in IPC Phase 5 (Catastrophe/Famine).,People,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_frac_1,FSN_07,Food Security,Fraction of population in IPC Phase 1,Fraction of population in IPC Phase 1.,Proportion,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = less deprived
pop_frac_2,FSN_08,Food Security,Fraction of population in IPC Phase 2,Fraction of population in IPC Phase 2.,Proportion,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_frac_3,FSN_09,Food Security,Fraction of population in IPC Phase 3,Fraction of population in IPC Phase 3.,Proportion,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_frac_3+,FSN_10,Food Security,Fraction of population in IPC Phase 3 or higher,Fraction of population in IPC Phase 3 or higher.,Proportion,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_frac_4,FSN_11,Food Security,Fraction of population in IPC Phase 4,Fraction of population in IPC Phase 4.,Proportion,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
pop_frac_5,FSN_12,Food Security,Fraction of population in IPC Phase 5,Fraction of population in IPC Phase 5.,Proportion,Integrated Food Security Phase Classification (HDX HAPI),data/raw/hdx_hapi_food_security_ssd.csv,2024,2024 (latest current assessment per ADM1),Admin 1,Output,Higher = more deprived
attendance_total,EDU_01,Education,Total learners enrolled,Total learners enrolled across all classes.,Integer,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = less deprived
attendance_total_male,EDU_02,Education,Count of male students,Count of male students.,Integer,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = less deprived
attendance_total_female,EDU_03,Education,Count of female students,Count of female students.,Integer,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = less deprived
percent_enrollment_male,EDU_04,Education,Percent of male students,Percent of male students.,Percent,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = less deprived
percent_enrollment_female,EDU_05,Education,Percent of female students,Percent of female students.,Percent,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = less deprived
gender_parity_index,EDU_06,Education,Gender parity index,Ratio of female to male rates (1.0 indicates parity).,Percent,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = less deprived
dropout_pct,EDU_07,Education,Student dropout rate,Share of learners who dropped out.,Percent,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = more deprived
pqtr_pct,EDU_08,Education,Pupil-qualified teacher ratio,Pupil-qualified teacher ratio.,Percent,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = more deprived
total_teachers,EDU_09,Education,Total teachers,Total number of teachers.,Count,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = less deprived
on_payroll,EDU_10,Education,Teachers on payroll,Number of teachers on payroll.,Count,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = less deprived
not_on_payroll,EDU_11,Education,Teachers not on payroll,Number of teachers not on payroll.,Count,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = more deprived
on_payroll_pct,EDU_12,Education,Share of teachers on payroll,Percent of teachers on payroll.,Percent,National Education Census Report,data/processed/adm1_sihbs_ssd_data.csv,2021,2021,Admin 1,Output,Higher = less deprived
poverty_headcount_pct,INC_01,Income & Livelihoods,Poverty headcount (population below poverty line),Population below the national poverty line.,Percent,Republic of South Sudan Poverty and Equity Assessment,data/processed/adm1_snbs_ssd_2024_processed.csv,2024,2024,Admin 1,Output,Higher = more deprived
annual_cmb_mean,INC_02,Income & Livelihoods,Average annual CMB cost,Average annual cost of the minimum consumption basket (CMB).,USD,CLiMIS South Sudan,data/processed/adm1_snbs_ssd_2024_processed.csv,2024,2024,Admin 1,Output,Higher = more deprived
daily_non_q_labour_mean_wage_USD,INC_03,Income & Livelihoods,Non-qualified labour daily mean wage,Daily mean wage for non-qualified labour.,USD,CLiMIS South Sudan,data/processed/adm1_snbs_ssd_2024_processed.csv,2024,2024,Admin 1,Output,Higher = less deprived
total_health_facilities,HLT_01,Health,Total health facilities,Total number of health facilities.,Count,World Health Organization health facility database,data/raw/WHO_ssd_health_sites.csv,2024 [TO COMPLETE for facility extraction date],Latest available facilities; population denominator from 2024 IPC,Admin 1,Input,Higher = less deprived
count_hospitals,HLT_02,Health,Count of hospitals,Number of hospitals.,Count,World Health Organization health facility database,data/raw/WHO_ssd_health_sites.csv,2024 [TO COMPLETE for facility extraction date],Latest available facilities; population denominator from 2024 IPC,Admin 1,Input,Higher = less deprived
count_mch_centres,HLT_03,Health,Count of maternal and child health centres,Number of maternal and child health centres.,Count,World Health Organization health facility database,data/raw/WHO_ssd_health_sites.csv,2024 [TO COMPLETE for facility extraction date],Latest available facilities; population denominator from 2024 IPC,Admin 1,Input,Higher = less deprived
count_health_posts,HLT_04,Health,Count of health posts,Number of health posts.,Count,World Health Organization health facility database,data/raw/WHO_ssd_health_sites.csv,2024 [TO COMPLETE for facility extraction date],Latest available facilities; population denominator from 2024 IPC,Admin 1,Input,Higher = less deprived
count_health_centres,HLT_05,Health,Count of health centres,Number of health centres.,Count,World Health Organization health facility database,data/raw/WHO_ssd_health_sites.csv,2024 [TO COMPLETE for facility extraction date],Latest available facilities; population denominator from 2024 IPC,Admin 1,Input,Higher = less deprived
health_fac_per_10k_pop,HLT_06,Health,"Health facilities per 10,000 population","Health facilities per 10,000 population.","Per 10,000",World Health Organization health facility database,data/processed/adm1_health_indicators_ssd_data.csv,2024 [TO COMPLETE for facility extraction date],Latest available facilities; population denominator from 2024 IPC,Admin 1,Input,Higher = less deprived
mch_ctr_per_10k_pop,HLT_07,Health,"MCH centres per 10,000 population","MCH centres per 10,000 population.","Per 10,000",World Health Organization health facility database,data/processed/adm1_health_indicators_ssd_data.csv,2024 [TO COMPLETE for facility extraction date],Latest available facilities; population denominator from 2024 IPC,Admin 1,Input,Higher = less deprived
hp_hc_per_10k_pop,HLT_08,Health,"Health posts plus health centres per 10,000 population","Health posts plus health centres per 10,000 population.","Per 10,000",World Health Organization health facility database,data/processed/adm1_health_indicators_ssd_data.csv,2024 [TO COMPLETE for facility extraction date],Latest available facilities; population denominator from 2024 IPC,Admin 1,Input,Higher = less deprived
hospitals_per_100k_pop,HLT_09,Health,"Hospitals per 100,000 population","Hospitals per 100,000 population.","Per 100,000",World Health Organization health facility database,data/processed/adm1_health_indicators_ssd_data.csv,2024 [TO COMPLETE for facility extraction date],Latest available facilities; population denominator from 2024 IPC,Admin 1,Input,Higher = less deprived
pop_2021,INC_04,Income & Livelihoods,Base population (2021),Estimated 2021 population used in youth projection dataset.,Count, South Sudan Population Estimation Survey 2021,data/processed/ssd_youth_bulge_adm1_2025_projected.csv,2021,2021,Admin 1,Input,Ambiguous
num_youth_bulge,INC_05,Income & Livelihoods,Number of people aged 15 to 29,Estimated number of males aged 15 to 29 as a proxy of youth population.,Count,Projection/ Interpolation ,data/processed/ssd_youth_bulge_adm1_2025_projected.csv,2025,2025,Admin 1,Input,Ambiguous
youth_bulge,INC_06,Income & Livelihoods,Share of population aged 15 to 29,Share of male population aged 15 to 29 as a proxy of youth bulge.,Ratio,Projection/ Interpolation,data/processed/ssd_youth_bulge_adm1_2025_projected.csv,2025,2025,Admin 1,Output,Ambiguous
non_agri_wage,INC_07,Income & Livelihoods,Average non-agricultural wage,Yearly average non-qualified non-agricultural wage.,USD,World Food Programme,data/raw/wfp_wages_ssd.csv,2025,2025,Admin 1,Output,Higher = less deprived
agri_wage,INC_08,Income & Livelihoods,Average agricultural wage,Yearly average non-qualified agricultural wage.,USD,World Food Programme,data/raw/wfp_wages_ssd.csv,2025,2025,Admin 1,Output,Higher = less deprived
yearly_average_usd,INC_09,Income & Livelihoods,Yearly average food price,Yearly average food price in USD estimated by the average white maize prices.,USD,World Food Programme,data/raw/wfp_food_prices_ssd2.csv,2025,2025,Admin 1,Output,Higher = more deprived
healthcare_access_pop,HLT_10,Health,Population with healthcare access,Share of population with access to healthcare services within 1 hour distance,Percent of population,Heidelberg Institute for Geoinformation Technology,data/processed/adm1_accessibility.csv,2025,2025,Admin 1,Input,Higher = less deprived
school_access_pop,EDU_13,Education,Population with school access,Share of school-age population within 5km distance to a facility,Percent of population,Heidelberg Institute for Geoinformation Technology,data/processed/adm1_accessibility.csv,2025,2025,Admin 1,Input,Higher = less deprived
