adm1_pcode,adm1_name,pop_count_1,pop_count_2,pop_count_3,pop_count_3+,pop_count_4,pop_count_5,pop_frac_1,pop_frac_2,pop_frac_3,pop_frac_3+,pop_frac_4,pop_frac_5,attendance_total,attendance_total_male,attendance_total_female,percent_enrollment_male,percent_enrollment_female,gender_parity_index,dropout_pct,pqtr_pct,total_teachers,on_payroll,not_on_payroll,on_payroll_pct,poverty_headcount_pct,annual_cmb_mean,daily_non_q_labour_mean_wage_USD,total_health_facilities,count_hospitals,count_mch_centres,count_health_posts,count_health_centres,health_fac_per_10k_pop,mch_ctr_per_10k_pop,hp_hc_per_10k_pop,hospitals_per_100k_pop,pop_2021,num_youth_bulge,youth_bulge,non_agri_wage,agri_wage,yearly_average_usd,healthcare_access_pop,school_access_pop
SS00,Abyei Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,0,0,29,,,,,,,,,,,,
SS01,Central Equatoria,242000,594000,637000,759000,122000,0,0.15,0.37,0.4,0.48,0.08,0,304068,152615,151453,50.2,49.8,0.992,8,57,9180,1445,7735,16,72,447270.95,7.585,289,17,0,0,267,1.8119122257053293,0,1.6739811912225706,1.0658307210031348,1324521,196029,0.148,5.763888888888889,,4.905,33.13,33.52
SS02,Eastern Equatoria,330000,367000,331000,464000,133000,0,0.28,0.32,0.29,0.4,0.11,0,138819,72668,66151,52.3,47.7,0.91,4,46,4106,1199,2907,29,75,314109.02,3.58,225,7,0,0,218,1.937984496124031,0,1.8776916451335055,0.602928509905254,981902,125683,0.128,2.2916666666666665,,2.806875,11.1,9.43
SS03,Jonglei,317000,667000,746000,1112000,366000,0,0.15,0.32,0.36,0.53,0.17,0,205250,119050,86200,58,42,0.724,9,133,2985,719,2266,24,82,344011.92,4.76,203,6,0,0,197,0.9685114503816794,0,0.939885496183206,0.2862595419847328,1031207,123745,0.12,2.6665833333333335,6.5,3.593,3.93,4.75
SS04,Lakes,229000,453000,422000,566000,144000,0,0.18,0.36,0.34,0.45,0.12,0,246357,143709,102648,58.3,41.7,0.714,18,79,6167,1347,4820,22,82,373379.75,16.14,119,5,0,0,114,0.9535256410256412,0,0.9134615384615384,0.40064102564102566,1265473,177166,0.14,4.694285714285714,3.165,2.9725,0,9.21
SS05,Northern Bahr el Ghazal,167000,306000,302000,493000,191000,0,0.17,0.32,0.31,0.51,0.2,0,337963,164103,173860,48.6,51.4,1.059,27,90,9837,4169,5668,42,79,405884.79,4.73,187,4,0,0,180,1.9358178053830228,0,1.8633540372670807,0.4140786749482402,1924342,254013,0.132,3.479305555555555,2.806111111111111,6.4459375,31.73,6.8
SS06,Unity,163000,294000,525000,702000,177000,0,0.14,0.25,0.45,0.61,0.15,0,101094,56725,44369,56.1,43.9,0.782,5,110,2534,536,1998,21,79,503545.09,5.766666667,168,5,0,0,157,1.449525452976704,0,1.3546160483175151,0.4314063848144953,1127196,146535,0.13,4.877291666666666,4.452500000000001,4.5945,8.62,7.49
SS07,Upper Nile,222000,455000,651000,895000,237000,10000,0.14,0.29,0.41,0.57,0.15,0.01,184480,95519,88961,51.8,48.2,0.931,9,104,2345,386,1959,16,80,633170.42,4.24,221,11,0,0,208,1.4031746031746033,0,1.3206349206349206,0.6984126984126984,790147,94027,0.119,2.910833333333333,4.135,4.549,16.34,20.9
SS08,Warrap,340000,473000,365000,523000,158000,0,0.25,0.35,0.27,0.39,0.12,0,378223,203743,174480,53.9,46.1,0.856,11,76,11701,3907,7794,33,81,328461.99,7.383333333,162,7,0,0,153,1.2125748502994012,0,1.1452095808383234,0.5239520958083832,2773439,374414,0.135,5.406296296296296,2.7,10.5738888888889,0.74,0.8
SS09,Western Bahr el Ghazal,151000,277000,230000,256000,26000,0,0.22,0.4,0.34,0.37,0.04,0,183725,93961,89764,51.1,48.9,0.955,1,87,4791,791,4000,17,71,491533.99,5.38,118,5,0,0,113,1.7251461988304095,0,1.652046783625731,0.7309941520467836,562555,70319,0.125,4.392857142857143,2.88,8.36777777777778,42.11,28.51
SS10,Western Equatoria,344000,433000,191000,219000,28000,0,0.35,0.43,0.19,0.22,0.03,0,155758,77869,77889,50,50,1,5,73,4729,1374,3355,29,72,282925.72,2.74,264,7,0,0,255,2.6506024096385543,0,2.5602409638554215,0.7028112449799196,665233,83819,0.126,3.0772222222222223,4.4625,2,0,24.05
