country,country_code,adm1_pcode,adm1_name,total_fatalities_2016,total_fatalities_2017,total_fatalities_2018,total_fatalities_2019,total_fatalities_2020,total_fatalities_2021,total_fatalities_2022,total_fatalities_2023,total_fatalities_2024,total_fatalities_2025,count_conflict_events_2016,count_conflict_events_2017,count_conflict_events_2018,count_conflict_events_2019,count_conflict_events_2020,count_conflict_events_2021,count_conflict_events_2022,count_conflict_events_2023,count_conflict_events_2024,count_conflict_events_2025,total_fatalities_per_1k_2016,count_conflicts_events_per_1k_2016,total_fatalities_per_1k_2017,count_conflicts_events_per_1k_2017,total_fatalities_per_1k_2018,count_conflicts_events_per_1k_2018,total_fatalities_per_1k_2019,count_conflicts_events_per_1k_2019,total_fatalities_per_1k_2020,count_conflicts_events_per_1k_2020,total_fatalities_per_1k_2021,count_conflicts_events_per_1k_2021,total_fatalities_per_1k_2022,count_conflicts_events_per_1k_2022,total_fatalities_per_1k_2023,count_conflicts_events_per_1k_2023,total_fatalities_per_1k_2024,count_conflicts_events_per_1k_2024,total_fatalities_per_1k_2025,count_conflicts_events_per_1k_2025
kenya,KEN,KE030,Baringo,4,63,27,17,5,21,49,30,23,18,2,25,15,11,8,13,40,52,35,22,0.005235602,0.002617801,0.082460733,0.032722513,0.035340314,0.019633508,0.022251309,0.014397906,0.006544503,0.010471204,0.027486911,0.017015707,0.064136126,0.052356021,0.039267016,0.068062827,0.030104712,0.045811518,0.023560209,0.028795812
kenya,KEN,KE036,Bomet,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0.001036269,0.001036269,0.001036269,0,0.002072539,0,0,0,0,0,0.001036269,0,0,0,0
kenya,KEN,KE039,Bungoma,0,6,5,1,1,1,2,1,2,0,0,5,2,1,2,2,3,2,3,3,0,0,0.003252033,0.002710027,0.002710027,0.001084011,5.42E-04,5.42E-04,5.42E-04,0.001084011,5.42E-04,0.001084011,0.001084011,0.001626016,5.42E-04,0.001084011,0.001084011,0.001626016,0,0.001626016
kenya,KEN,KE040,Busia,0,0,1,0,1,0,0,3,0,0,0,0,1,0,3,0,0,3,2,1,0,0,0,0,9.94E-04,9.94E-04,0,0,9.94E-04,0.002982107,0,0,0,0,0.002982107,0.002982107,0,0.001988072,0,9.94E-04
kenya,KEN,KE028,Elgeyo-Marakwet,7,12,15,3,3,34,32,29,13,17,4,12,11,2,2,13,26,21,10,22,0.009270713,0.00529755,0.01589265,0.01589265,0.019865813,0.014568263,0.003973163,0.002648775,0.003973163,0.002648775,0.045029176,0.017217038,0.042380401,0.034434076,0.038407239,0.027812138,0.017217038,0.013243875,0.022514588,0.029136526
kenya,KEN,KE014,Embu,0,0,1,2,0,0,1,2,0,1,0,0,2,4,1,2,5,1,3,4,0,0,0,0,0.001510574,0.003021148,0.003021148,0.006042296,0,0.001510574,0,0.003021148,0.001510574,0.00755287,0.003021148,0.001510574,0,0.004531722,0.001510574,0.006042296
kenya,KEN,KE007,Garissa,30,57,10,29,43,2,58,101,36,42,8,26,11,11,21,4,25,55,37,27,0.030895984,0.008238929,0.058702369,0.026776519,0.010298661,0.011328527,0.029866117,0.011328527,0.044284243,0.021627188,0.002059732,0.004119464,0.059732235,0.025746653,0.104016478,0.056642636,0.03707518,0.038105046,0.043254377,0.027806385
kenya,KEN,KE043,Homa Bay,0,0,0,2,2,1,1,2,4,4,0,1,2,3,2,1,4,4,4,7,0,0,0,7.82E-04,0,0.001564945,0.001564945,0.002347418,0.001564945,0.001564945,7.82E-04,7.82E-04,7.82E-04,0.00312989,0.001564945,0.00312989,0.00312989,0.00312989,0.00312989,0.005477308
kenya,KEN,KE011,Isiolo,9,47,13,24,8,50,51,30,12,28,4,11,9,9,4,19,27,22,10,29,0.027272727,0.012121212,0.142424242,0.033333333,0.039393939,0.027272727,0.072727273,0.027272727,0.024242424,0.012121212,0.151515152,0.057575758,0.154545455,0.081818182,0.090909091,0.066666667,0.036363636,0.03030303,0.084848485,0.087878788
kenya,KEN,KE034,Kajiado,0,0,0,2,1,2,1,0,1,1,0,0,0,3,1,3,1,7,6,2,0,0,0,0,0,0,0.001506024,0.002259036,7.53E-04,7.53E-04,0.001506024,0.002259036,7.53E-04,7.53E-04,0,0.005271084,7.53E-04,0.004518072,7.53E-04,0.001506024
kenya,KEN,KE037,Kakamega,0,0,3,1,6,1,2,1,4,2,0,2,5,1,8,1,3,3,5,5,0,0,0,9.65E-04,0.001447178,0.002411963,4.82E-04,4.82E-04,0.002894356,0.003859141,4.82E-04,4.82E-04,9.65E-04,0.001447178,4.82E-04,0.001447178,0.001929571,0.002411963,9.65E-04,0.002411963
kenya,KEN,KE035,Kericho,0,0,0,3,0,0,0,8,0,0,0,0,1,1,1,0,1,4,0,0,0,0,0,0,0,0.001020408,0.003061224,0.001020408,0,0.001020408,0,0,0,0.001020408,0.008163265,0.004081633,0,0,0,0
kenya,KEN,KE022,Kiambu,1,10,10,4,1,0,0,4,2,1,1,6,4,2,1,2,3,9,13,8,3.63E-04,3.63E-04,0.003631082,0.002178649,0.003631082,0.001452433,0.001452433,7.26E-04,3.63E-04,3.63E-04,0,7.26E-04,0,0.001089325,0.001452433,0.003267974,7.26E-04,0.004720407,3.63E-04,0.002904866
kenya,KEN,KE003,Kilifi,4,0,0,1,1,0,2,3,5,4,1,0,5,1,1,0,7,5,9,6,0.002443494,6.11E-04,0,0,0,0.003054368,6.11E-04,6.11E-04,6.11E-04,6.11E-04,0,0,0.001221747,0.004276115,0.001832621,0.003054368,0.003054368,0.005497862,0.002443494,0.003665241
kenya,KEN,KE020,Kirinyaga,1,0,0,0,0,1,0,2,2,0,1,0,0,0,0,1,2,4,4,1,0.001506024,0.001506024,0,0,0,0,0,0,0,0,0.001506024,0.001506024,0,0.003012048,0.003012048,0.006024096,0.003012048,0.006024096,0,0.001506024
kenya,KEN,KE045,Kisii,2,1,1,1,2,1,1,2,1,5,2,3,1,2,2,1,3,3,3,7,0.001459854,0.001459854,7.30E-04,0.002189781,7.30E-04,7.30E-04,7.30E-04,0.001459854,0.001459854,0.001459854,7.30E-04,7.30E-04,7.30E-04,0.002189781,0.001459854,0.002189781,7.30E-04,0.002189781,0.003649635,0.005109489
kenya,KEN,KE042,Kisumu,4,16,0,0,2,5,0,5,1,2,3,12,3,0,5,4,1,8,3,2,0.003100775,0.002325581,0.012403101,0.009302326,0,0.002325581,0,0,0.001550388,0.003875969,0.003875969,0.003100775,0,7.75E-04,0.003875969,0.00620155,7.75E-04,0.002325581,0.001550388,0.001550388
kenya,KEN,KE015,Kitui,1,7,1,3,0,0,5,18,5,5,1,5,1,4,0,1,14,12,7,8,7.94E-04,7.94E-04,0.005559968,0.003971406,7.94E-04,7.94E-04,0.002382844,0.003177125,0,0,0,7.94E-04,0.003971406,0.011119936,0.014297061,0.009531374,0.003971406,0.005559968,0.003971406,0.006354249
kenya,KEN,KE002,Kwale,12,5,8,0,8,1,1,2,0,3,9,4,4,1,7,1,2,4,1,4,0.012145749,0.009109312,0.005060729,0.004048583,0.008097166,0.004048583,0,0.001012146,0.008097166,0.00708502,0.001012146,0.001012146,0.001012146,0.002024291,0.002024291,0.004048583,0,0.001012146,0.003036437,0.004048583
kenya,KEN,KE031,Laikipia,0,20,1,1,4,18,9,11,6,5,0,21,1,2,2,17,20,13,9,9,0,0,0.034305317,0.036020583,0.001715266,0.001715266,0.001715266,0.003430532,0.006861063,0.003430532,0.030874786,0.02915952,0.015437393,0.034305317,0.018867925,0.022298456,0.010291595,0.015437393,0.008576329,0.015437393
kenya,KEN,KE005,Lamu,21,85,50,8,17,33,62,141,65,28,11,29,15,8,10,11,25,36,21,23,0.119318182,0.0625,0.482954545,0.164772727,0.284090909,0.085227273,0.045454545,0.045454545,0.096590909,0.056818182,0.1875,0.0625,0.352272727,0.142045455,0.801136364,0.204545455,0.369318182,0.119318182,0.159090909,0.130681818
kenya,KEN,KE016,Machakos,0,4,0,3,1,3,0,6,0,0,0,2,0,2,3,4,2,6,9,4,0,0,0.002635046,0.001317523,0,0,0.001976285,0.001317523,6.59E-04,0.001976285,0.001976285,0.002635046,0,0.001317523,0.003952569,0.003952569,0,0.005928854,0,0.002635046
kenya,KEN,KE017,Makueni,0,1,0,5,1,0,2,1,2,0,0,1,0,3,1,0,1,1,5,0,0,0,9.39E-04,9.39E-04,0,0,0.004694836,0.002816901,9.39E-04,9.39E-04,0,0,0.001877934,9.39E-04,9.39E-04,9.39E-04,0.001877934,0.004694836,0,0
kenya,KEN,KE009,Mandera,45,70,55,17,28,43,29,53,80,64,15,28,28,9,27,37,41,52,56,49,0.04468719,0.01489573,0.069513406,0.027805362,0.054617676,0.027805362,0.016881827,0.008937438,0.027805362,0.026812314,0.042701092,0.0367428,0.028798411,0.040714995,0.052631579,0.05163853,0.079443893,0.055610725,0.063555114,0.048659384
