country,country_code,adm1_name,adm1_pcode,idps,year,population,pop_year,pop_frac_idps
south_sudan,SSD,Jonglei,SS03,253540,2025,2096000,2024,12.09637405
south_sudan,SSD,Upper Nile,SS07,146167,2025,1575000,2024,9.280444444
south_sudan,SSD,Western Equatoria,SS10,117769,2025,996000,2024,11.82419679
south_sudan,SSD,Unity,SS06,85444,2025,1159000,2024,7.372217429
south_sudan,SSD,Central Equatoria,SS01,52956,2025,1595000,2024,3.320125392
south_sudan,SSD,Warrap,SS08,33189,2025,1336000,2024,2.484206587
south_sudan,SSD,Eastern Equatoria,SS02,29772,2025,1161000,2024,2.564341085
south_sudan,SSD,Northern Bahr el Ghazal,SS05,"16,820",2025,"966,000",2024,1.741200828
south_sudan,SSD,Lakes,SS04,"14,238",2025,"1,248,000",2024,1.140865385
south_sudan,SSD,Western Bahr el Ghazal,SS09,"1,435",2025,"684,000",2024,0.209795322
kenya,KEN,Turkana,KE023,"119,356",2024,"1,074,000",2025,11.1132216
kenya,KEN,Wajir,KE008,"56,820",2024,"915,000",2025,6.209836066
kenya,KEN,Garissa,KE007,"50,835",2024,"971,000",2025,5.235324408
kenya,KEN,Mandera,KE009,"37,726",2024,"1,007,000",2025,3.746375372
kenya,KEN,Marsabit,KE010,"26,060",2024,"539,000",2025,4.834879406
kenya,KEN,Isiolo,KE011,"8,835",2024,"330,000",2025,2.677272727
kenya,KEN,Baringo,KE030,"6,516",2024,"764,000",2025,0.852879581
kenya,KEN,Samburu,KE025,"6,438",2024,"367,000",2025,1.754223433
kenya,KEN,Nakuru,KE032,"4,990",2024,"2,445,000",2025,0.20408998
kenya,KEN,Uasin Gishu,KE027,"4,200",2024,"1,307,000",2025,0.321346595
kenya,KEN,Trans Nzoia,KE026,"2,970",2024,"1,108,000",2025,0.268050542
kenya,KEN,Tana River,KE004,990,2024,"370,000",2025,0.267567568
kenya,KEN,Nairobi,KE047,914,2024,"4,906,000",2025,0.018630249
kenya,KEN,Lamu,KE005,780,2024,"176,000",2025,0.443181818
kenya,KEN,Kiambu,KE022,741,2024,"2,754,000",2025,0.026906318
kenya,KEN,Laikipia,KE031,368,2024,"583,000",2025,0.063121784
kenya,KEN,Nyeri,KE019,300,2024,"863,000",2025,0.034762457
kenya,KEN,Meru,KE012,192,2024,"1,666,000",2025,0.01152461
kenya,KEN,Kisumu,KE042,124,2024,"1,290,000",2025,0.009612403
kenya,KEN,Mombasa,KE001,124,2024,"1,368,000",2025,0.009064327
kenya,KEN,Machakos,KE016,124,2024,"1,518,000",2025,0.008168643
kenya,KEN,Kilifi,KE003,117,2024,"1,637,000",2025,0.007147221
kenya,KEN,Nandi,KE029,117,2024,"982,000",2025,0.01191446
somalia,SOM,Bay,SO24,"2,539",2026,"1,247,980",2024,0.203448773
somalia,SOM,Lower Shabelle,SO23,779,2026,"1,593,130",2024,0.048897453
somalia,SOM,Middle Shabelle,SO21,135,2026,"1,013,360",2024,0.013322018
somalia,SOM,Hiraan,SO20,101,2026,"504,830",2024,0.020006735
somalia,SOM,Gedo,SO26,70,2026,"975,550",2024,0.007175439
somalia,SOM,Bakool,SO25,59,2026,"543,330",2024,0.010858962
